University,"DBpedia URI",timeshighereducation,topuniversities,shanghairanking,leidenranking,urapcenter,shanghairanking
"University of Waterloo",http://dbpedia.org/resource/University_of_Waterloo,226-250,"180 ",151-200,231,199,150
" University of Western Australia ",http://dbpedia.org/resource/University_of_Western_Australia,168,"84 ",91,286,137,297
" University of Wisconsin-Madison ",http://dbpedia.org/resource/University_of_Wisconsin–Madison,30,"37 ",19,54,23,12
"University of Wollongong",http://dbpedia.org/resource/University_of_Wollongong,276-300,"276 ",301-400,186,424,342
"University of Wyoming",http://dbpedia.org/resource/University_of_Wyoming,351-400,,401-500,,,
" University of York ",http://dbpedia.org/resource/University_of_York,100,"114 ",201-300,107,244,290
"University of Zagreb",http://dbpedia.org/resource/University_of_Zagreb,,"601-650 ",401-500,482,356,
"University of Zurich ",http://dbpedia.org/resource/University_of_Zurich,,"78 ",60,70,57,
" Uppsala University ",http://dbpedia.org/resource/Uppsala_University,111,"79 ",73,256,76,
"Utah State University",http://dbpedia.org/resource/Utah_State_University,,,401-500,,,243
" Utrecht University ",http://dbpedia.org/resource/Utrecht_University,74,"81 ",52,64,43,
" Vanderbilt University ",http://dbpedia.org/resource/Vanderbilt_University,88,"181 ",49,81,65,64
"Victoria University of Wellington",http://dbpedia.org/resource/Victoria_University_of_Wellington,276-300,"265 ",401-500,,,
" Vienna University of Technology ",http://dbpedia.org/resource/Vienna_University_of_Technology,226-250,"264 ",401-500,291,374,209
"Virginia Commonwealth University",http://dbpedia.org/resource/Virginia_Commonwealth_University,,"551-600 ",151-200,185,261,282
"Virginia Polytechnic Institute and State University",http://dbpedia.org/resource/Virginia_Polytechnic_Institute_and_State_University,276-300,"316 ",151-200,213,230,54
" VU University Amsterdam ",http://dbpedia.org/resource/Vrije_Universiteit,144,"181 ",101-150,83,115,175
"Vrije University Brussel",http://dbpedia.org/resource/Vrije_Universiteit_Brussel,251-275,"172 ",301-400,289,,
" Wake Forest University ",http://dbpedia.org/resource/Wake_Forest_University,180,"329 ",301-400,203,316,369
"Warsaw University of Technology ",http://dbpedia.org/resource/Warsaw_University_of_Technology,,"601-650 ",,,,
"Waseda University",http://dbpedia.org/resource/Waseda_University,,"220 ",301-400,460,381,
"Washington State University - Pullman",http://dbpedia.org/resource/Washington_State_University,301-350,"366 ",201-300,271,373,127
" Washington University in St Louis ",http://dbpedia.org/resource/Washington_University_in_St._Louis,42,"86 ",32,22,30,63
"Wayne State University",http://dbpedia.org/resource/Wayne_State_University,301-350,,301-400,285,203,222
"Weizmann Institute of Science",http://dbpedia.org/resource/Weizmann_Institute_of_Science,,,92,23,218,326
"West Virginia University",http://dbpedia.org/resource/West_Virginia_University,,,,320,490,305
" William & Mary ",http://dbpedia.org/resource/William_and_Mary,201-225,,,,,
"Wuhan University",http://dbpedia.org/resource/Wuhan_University,,"401-410 ",401-500,262,233,122
" Yale University ",http://dbpedia.org/resource/Yale_University,11,"8 ",11,10,18,16
" Yeshiva University ",http://dbpedia.org/resource/Yeshiva_University,172,"269 ",201-300,98,216,
" Yonsei University ",http://dbpedia.org/resource/Yonsei_University,190,"114 ",201-300,416,108,
"York University",http://dbpedia.org/resource/York_University,276-300,"401-410 ",401-500,255,358,136
