University,"DBpedia URI",timeshighereducation,topuniversities,shanghairanking,leidenranking,urapcenter,shanghairanking
"Fudan University ",http://dbpedia.org/resource/Fudan_University,201-225,"88 ",151-200,219,,
"Universitas Gadjah Mada ",http://dbpedia.org/resource/Gadjah_Mada_University,,"501-550 ",,,,414
"Gazi University",http://dbpedia.org/resource/Gazi_University,,,,486,,
" Georgetown University ",http://dbpedia.org/resource/Georgetown_University,160,"189 ",301-400,155,347,194
"George Mason University",http://dbpedia.org/resource/George_Mason_University,351-400,"601-650 ",151-200,272,477,167
" George Washington University ",http://dbpedia.org/resource/George_Washington_University,194,"327 ",201-300,283,338,218
" Georgia Institute of Technology (Georgia Tech) ",http://dbpedia.org/resource/Georgia_Institute_of_Technology,28,"99 ",101-150,34,125,47
"Georgia State University",http://dbpedia.org/resource/Georgia_State_University,,,,,,314
" Ghent University ",http://dbpedia.org/resource/Ghent_University,85,"122 ",85,188,71,
"Goethe University Frankfurt",http://dbpedia.org/resource/Goethe_University_Frankfurt,,,,126,,
"Goldsmiths, University of London ","http://dbpedia.org/resource/Goldsmiths,_University_of_London",,"461-470 ",,,,
"Griffith University",http://dbpedia.org/resource/Griffith_University,,"341 ",301-400,383,,
"Hacettepe University  ",http://dbpedia.org/resource/Hacettepe_University,,"601-650 ",,490,458,
"Hanyang University",http://dbpedia.org/resource/Hanyang_University,351-400,"249 ",301-400,399,238,293
" Harvard University ",http://dbpedia.org/resource/Harvard_University,2,"2 ",1,5,1,1
" Hebrew University of Jerusalem ",http://dbpedia.org/resource/Hebrew_University_of_Jerusalem,191,"141 ",59,247,201,181
"Ruprecht-Karls-Universität Heidelberg ",http://dbpedia.org/resource/Heidelberg_University,,"50 ",,162,,
" Heriot-Watt University ",http://dbpedia.org/resource/Heriot-Watt_University,301-350,"369 ",,,,
"Hiroshima University",http://dbpedia.org/resource/Hiroshima_University,,"307 ",301-400,459,274,375
"Hokkaido University",http://dbpedia.org/resource/Hokkaido_University,301-350,"144 ",101-150,461,156,288
" Hong Kong Baptist University ",http://dbpedia.org/resource/Hong_Kong_Baptist_University,301-350,"288 ",,,,
"The Hong Kong Polytechnic University",http://dbpedia.org/resource/Hong_Kong_Polytechnic_University,251-275,"161 ",301-400,199,276,217
" Hong Kong University of Science and Technology ",http://dbpedia.org/resource/Hong_Kong_University_of_Science_and_Technology,57,"34 ",201-300,80,361,324
"Howard University ",http://dbpedia.org/resource/Howard_University,,"601-650 ",,,,
"Huazhong University of Science and Technology",http://dbpedia.org/resource/Huazhong_University_of_Science_and_Technology,,"501-550 ",301-400,388,173,262
"Humboldt-Universität zu Berlin ",http://dbpedia.org/resource/Humboldt_University_of_Berlin,,"126 ",,169,257,106
"Illinois Institute of Technology ",http://dbpedia.org/resource/Illinois_Institute_of_Technology,,"441-450 ",,,,436
" Imperial College London ",http://dbpedia.org/resource/Imperial_College_London,10,"5 ",,41,16,237
"Indiana University Bloomington",http://dbpedia.org/resource/Indiana_University_Bloomington,,"240 ",85,69,,
"Indian Institute of Technology Kharagpur (IITKGP) ",http://dbpedia.org/resource/Indian_Institutes_of_Technology,,"346 ",,424,,
"Indian Institute of Science",http://dbpedia.org/resource/Indian_Institute_of_Science,,,301-400,386,,
"Indian Institute of Technology Bombay (IITB) ",http://dbpedia.org/resource/Indian_Institute_of_Technology_Bombay,,"233 ",,,,
" Indian Institute of Technology, Kanpur ",http://dbpedia.org/resource/Indian_Institute_of_Technology_Kanpur,351-400,"295 ",,,,
"Indian Institute of Technology Madras (IITM) ",http://dbpedia.org/resource/Indian_Institute_of_Technology_Madras,,"313 ",,365,,
"International Islamic University Malaysia (IIUM) ",http://dbpedia.org/resource/International_Islamic_University_Malaysia,,"501-550 ",,,,
" Iowa State University ",http://dbpedia.org/resource/Iowa_State_University,183,"321 ",151-200,160,165,74
" Istanbul Technical University ",http://dbpedia.org/resource/Istanbul_Technical_University,201-225,"551-600 ",,,,
"Istanbul University",http://dbpedia.org/resource/Istanbul_University,,,401-500,496,417,190
"Jagiellonian University",http://dbpedia.org/resource/Jagiellonian_University,,"376 ",301-400,479,296,299
"James Cook University",http://dbpedia.org/resource/James_Cook_University,,"351 ",301-400,,460,
"Jilin University",http://dbpedia.org/resource/Jilin_University,,"601-650 ",301-400,273,172,166
"Johannes Gutenberg Universität Mainz ",http://dbpedia.org/resource/Johannes_Gutenberg,,"297 ",,173,167,270
" Johns Hopkins University ",http://dbpedia.org/resource/Johns_Hopkins_University,15,"16 ",17,36,2,25
